location_code,cad_space,SF_art_count,article_capacity,date_recorded
BG0511,BABY,374,320.0,2024-12-18
BG0511,BOY 134-170,242,,2024-12-18
BG0511,BOY 92-140,290,290.0,2024-12-18
BG0511,BOY KIDS BASIC,149,141.0,2024-12-18
BG0511,BOY YOUNG BASIC,71,,2024-12-18
BG0511,DIV. COLL.,589,,2024-12-18
BG0511,DIV. GIRL BASICS+UNDERW.,167,,2024-12-18
BG0511,GIRL 134-170,350,,2024-12-18
BG0511,GIRL 92-140,360,331.0,2024-12-18
BG0511,GIRL KIDS BASIC,170,115.0,2024-12-18
BG0511,GIRL YOUNG BASIC,100,65.0,2024-12-18
BG0511,MENS COLLECTION,420,420.0,2024-12-18
BG0511,MENS H&M BASIC,147,,2024-12-18
BG0511,MENS SUIT,52,,2024-12-18
BG0511,WOM. BASIC JERSEY,163,102.0,2024-12-18
BG0511,WOM. MAMA,60,,2024-12-18
BG0511,WOMENSWEAR COLLECTION,846,787.0,2024-12-18
ES0001,BABY,395,353.0,2024-12-18
ES0001,BOY 134-170,93,93.0,2024-12-18
ES0001,BOY 92-140,264,264.0,2024-12-18
ES0001,BOY KIDS BASIC,106,106.0,2024-12-18
ES0001,BOY YOUNG BASIC,37,37.0,2024-12-18
ES0001,DIV. COLL.,334,287.0,2024-12-18
ES0001,DIV. GIRL BASICS+UNDERW.,12,,2024-12-18
ES0001,GIRL 134-170,128,128.0,2024-12-18
ES0001,GIRL 92-140,307,307.0,2024-12-18
ES0001,GIRL KIDS BASIC,146,146.0,2024-12-18
ES0001,GIRL YOUNG BASIC,46,46.0,2024-12-18
ES0001,MENS COLLECTION,284,284.0,2024-12-18
ES0001,MENS H&M BASIC,113,113.0,2024-12-18
ES0001,MENS SUIT,29,,2024-12-18
ES0001,WOM. BASIC JERSEY,78,78.0,2024-12-18
ES0001,WOM. MAMA,3,,2024-12-18
ES0001,WOMENSWEAR COLLECTION,759,854.0,2024-12-18
ES0036,BABY,435,393.0,2024-12-18
ES0036,BOY 134-170,99,99.0,2024-12-18
ES0036,BOY 92-140,240,240.0,2024-12-18
ES0036,BOY KIDS BASIC,116,116.0,2024-12-18
ES0036,BOY YOUNG BASIC,49,49.0,2024-12-18
ES0036,DIV. COLL.,347,347.0,2024-12-18
ES0036,DIV. GIRL BASICS+UNDERW.,112,112.0,2024-12-18
ES0036,GIRL 134-170,123,123.0,2024-12-18
ES0036,GIRL 92-140,272,272.0,2024-12-18
ES0036,GIRL KIDS BASIC,159,123.0,2024-12-18
ES0036,GIRL YOUNG BASIC,69,69.0,2024-12-18
ES0036,MENS COLLECTION,261,261.0,2024-12-18
ES0036,MENS H&M BASIC,114,114.0,2024-12-18
ES0036,MENS SUIT,51,,2024-12-18
ES0036,WOM. BASIC JERSEY,97,97.0,2024-12-18
ES0036,WOM. MAMA,3,3.0,2024-12-18
ES0036,WOMENSWEAR COLLECTION,639,639.0,2024-12-18
ES0137,BABY,231,226.0,2024-12-18
ES0137,BOY 134-170,50,50.0,2024-12-18
ES0137,BOY 92-140,127,127.0,2024-12-18
ES0137,BOY KIDS BASIC,58,58.0,2024-12-18
ES0137,BOY YOUNG BASIC,4,,2024-12-18
ES0137,DIV. COLL.,48,,2024-12-18
ES0137,DIV. GIRL BASICS+UNDERW.,5,,2024-12-18
ES0137,GIRL 134-170,75,75.0,2024-12-18
ES0137,GIRL 92-140,146,146.0,2024-12-18
ES0137,GIRL KIDS BASIC,55,55.0,2024-12-18
ES0137,MENS COLLECTION,233,233.0,2024-12-18
ES0137,MENS H&M BASIC,81,81.0,2024-12-18
ES0137,MENS SUIT,30,,2024-12-18
ES0137,WOM. BASIC JERSEY,82,82.0,2024-12-18
ES0137,WOM. MAMA,6,,2024-12-18
ES0137,WOMENSWEAR COLLECTION,634,634.0,2024-12-18
FR0028,BABY,300,202.0,2024-12-18
FR0028,BOY 134-170,83,83.0,2024-12-18
FR0028,BOY 92-140,176,176.0,2024-12-18
FR0028,BOY KIDS BASIC,73,73.0,2024-12-18
FR0028,BOY YOUNG BASIC,17,17.0,2024-12-18
FR0028,DIV. COLL.,339,367.0,2024-12-18
FR0028,DIV. GIRL BASICS+UNDERW.,96,72.0,2024-12-18
FR0028,GIRL 134-170,122,145.0,2024-12-18
FR0028,GIRL 92-140,235,235.0,2024-12-18
FR0028,GIRL KIDS BASIC,99,99.0,2024-12-18
FR0028,GIRL YOUNG BASIC,13,13.0,2024-12-18
FR0028,MENS COLLECTION,258,300.0,2024-12-18
FR0028,MENS H&M BASIC,95,95.0,2024-12-18
FR0028,MENS SUIT,3,,2024-12-18
FR0028,WOM. BASIC JERSEY,102,102.0,2024-12-18
FR0028,WOM. MAMA,4,,2024-12-18
FR0028,WOMENSWEAR COLLECTION,699,699.0,2024-12-18
FR0098,BABY,434,,2024-12-18
FR0098,BOY 134-170,90,90.0,2024-12-18
FR0098,BOY 92-140,199,182.0,2024-12-18
FR0098,BOY KIDS BASIC,109,,2024-12-18
FR0098,BOY YOUNG BASIC,18,18.0,2024-12-18
FR0098,DIV. COLL.,431,400.0,2024-12-18
FR0098,DIV. GIRL BASICS+UNDERW.,10,,2024-12-18
FR0098,GIRL 134-170,160,160.0,2024-12-18
FR0098,GIRL 92-140,281,249.0,2024-12-18
FR0098,GIRL KIDS BASIC,110,67.0,2024-12-18
FR0098,GIRL YOUNG BASIC,17,17.0,2024-12-18
FR0098,MENS COLLECTION,386,386.0,2024-12-18
FR0098,MENS H&M BASIC,132,103.0,2024-12-18
FR0098,MENS SUIT,48,30.0,2024-12-18
FR0098,WOM. BASIC JERSEY,132,146.0,2024-12-18
FR0098,WOM. MAMA,4,,2024-12-18
FR0098,WOMENSWEAR COLLECTION,996,762.0,2024-12-18
RO0007,BABY,474,474.0,2024-12-18
RO0007,BOY 134-170,148,148.0,2024-12-18
RO0007,BOY 92-140,283,283.0,2024-12-18
RO0007,BOY KIDS BASIC,149,149.0,2024-12-18
RO0007,BOY YOUNG BASIC,59,59.0,2024-12-18
RO0007,DIV. COLL.,620,483.0,2024-12-18
RO0007,DIV. GIRL BASICS+UNDERW.,17,,2024-12-18
RO0007,GIRL 134-170,172,172.0,2024-12-18
RO0007,GIRL 92-140,298,298.0,2024-12-18
RO0007,GIRL KIDS BASIC,163,159.0,2024-12-18
RO0007,GIRL YOUNG BASIC,69,69.0,2024-12-18
RO0007,MENS COLLECTION,483,483.0,2024-12-18
RO0007,MENS H&M BASIC,147,147.0,2024-12-18
RO0007,MENS SUIT,52,,2024-12-18
RO0007,WOM. BASIC JERSEY,103,,2024-12-18
RO0007,WOM. MAMA,40,,2024-12-18
RO0007,WOMENSWEAR COLLECTION,1004,1004.0,2024-12-18